ID,Name
12.71.15,MedanMaimun
12.71.16,MedanPolonia
12.71.17,MedanBaru
12.71.18,MedanPerjuangan
12.71.19,MedanPetisah
12.71.20,MedanTimur
12.71.21,MedanSelayang
12.72.01,SiantarTimur
12.72.02,SiantarBarat
12.72.03,SiantarUtara
12.72.04,SiantarSelatan
12.72.05,SiantarMarihat
12.72.06,SiantarMartoba
12.72.07,SiantarSitalasari
12.72.08,SiantarMarimbun
12.73.01,SibolgaUtara
12.73.02,SibolgaKota
12.73.03,SibolgaSelatan
12.73.04,SibolgaSambas
12.74.01,TanjungBalai Selatan
12.74.02,TanjungBalai Utara
12.74.03,SeiTualang Raso
12.74.04,TelukNibung
12.74.05,DatukBandar
12.74.06,DatukBandar Timur
12.75.01,BinjaiUtara
12.75.02,BinjaiKota
12.75.03,BinjaiBarat
12.75.04,BinjaiTimur
12.75.05,BinjaiSelatan
12.76.01,PadangHulu
12.76.02,Rambutan
12.76.03,PadangHilir
12.76.04,Bajenis
12.76.05,TebingTinggi Kota
12.77.01,PadangsidimpuanUtara
12.77.02,PadangsidimpuanSelatan
12.77.03,PadangsidimpuanBatunadua
12.77.04,PadangsidimpuanHutaimbaru
12.77.05,PadangsidimpuanTenggara
12.77.06,PadangsidimpuanAngkola Julu
12.78.01,Gunungsitoli
12.78.02,GunungsitoliSelatan
12.78.03,GunungsitoliUtara
12.78.04,GunungsitoliIdanoi
12.78.05,GunungsitoliAlogoa
12.78.06,GunungsitoliBarat
13.01.01,PancungSoal
13.01.02,RanahPesisir
13.01.03,Lengayang
13.01.04,BatangKapas
13.01.05,IVJurai
13.01.06,Bayang
13.01.07,KotoXI Tarusan
13.01.08,Sutera
13.01.09,LinggoSari Baganti
13.01.10,Lunang
13.01.11,BasaAmpek Balai Tapan
13.01.12,IVNagari Bayang Utara
13.01.13,Airpura
13.01.14,RanahAmpek Hulu Tapan
13.01.15,Silaut
13.02.03,PantaiCermin
13.02.04,LembahGumanti
13.02.05,PayungSekaki
13.02.06,LembangJaya
13.02.07,GunungTalang
